anode TotalCurrent(Fwd_n9000_4e+16_3X4e+16_377_5014_des) X,anode TotalCurrent(Fwd_n9000_4e+16_3X4e+16_377_5014_des) Y
0,-9.5184831e-18
0.078431373,1.0377724e-10
0.15686275,1.1689434e-9
0.23529412,1.2130648e-8
0.31372549,1.2297708e-7
0.39215686,1.215172e-6
0.47058824,1.1501459e-5
0.54901961,9.7192593e-5
0.62745098,0.00056953022
0.70588235,0.0018052997
0.78431373,0.0036496029
0.8627451,0.0058298033
0.94117647,0.0081963348
1.0196078,0.01067377
1.0980392,0.013220838
1.1764706,0.015812734
1.254902,0.018433182
1.3333333,0.021070831
1.4117647,0.023717223
1.4901961,0.026365794
1.5686275,0.029011243
1.6470588,0.031649107
1.7254902,0.034274303
1.8039216,0.036884566
1.8823529,0.039477556
1.9607843,0.042050747
2.0392157,0.044601884
2.1176471,0.047128948
2.1960784,0.049630127
2.2745098,0.052103793
2.3529412,0.054548489
2.4313725,0.056962911
2.5098039,0.059345898
2.5882353,0.061696429
2.6666667,0.06401361
2.745098,0.066296671
2.8235294,0.068544949
2.9019608,0.070757891
2.9803922,0.072935042
3.0588235,0.075076038
3.1372549,0.077180606
3.2156863,0.079248553
3.2941176,0.081279763
3.372549,0.083274189
3.4509804,0.085231853
3.5294118,0.087152834
3.6078431,0.089037272
3.6862745,0.090885353
3.7647059,0.092697316
3.8431373,0.094473437
3.9215686,0.096214036
4,0.097919466

